COMMON_NAME,GENUS,SPECIES,"Shade Tolerance Index",SPCD
"mountain-ash spp.",Sorbus,spp.,0.5,934
"American mountain-ash",Sorbus,americana,0.5,935
"European mountain-ash",Sorbus,aucuparia,0.5,936
"northern mountain-ash",Sorbus,decora,0.5,937
"West Indian mahogany",Swietenia,mahagoni,0.5,940
"basswood spp.",Tilia,spp.,0.75,950
"American basswood",Tilia,americana,0.75,951
"white basswood",Tilia,americana,0.75,952
"Carolina basswood",Tilia,americana,0.75,953
"elm spp.",Ulmus,spp.,0.5,970
"winged elm",Ulmus,alata,0.75,971
"American elm",Ulmus,americana,0.5,972
"cedar elm",Ulmus,crassifolia,0.5,973
"Siberian elm",Ulmus,pumila,0.5,974
"slippery elm",Ulmus,rubra,0.75,975
"September elm",Ulmus,serotina,0.75,976
"rock elm",Ulmus,thomasii,0.5,977
California-laurel,Umbellularia,californica,0.75,981
"Joshua tree",Yucca,brevifolia,0.5,982
black-mangrove,Avicennia,germinans,0.5,986
buttonwood-mangrove,Conocarpus,erectus,0.5,987
white-mangrove,Laguncularia,racemosa,0.5,988
"American mangrove",Rhizophora,mangle,0.5,989
"desert ironwood",Olneya,tesota,0.5,990
saltcedar,Tamarix,spp.,0.5,991
melaleuca,Melaleuca,quinquenervia,0.25,992
chinaberry,Melia,azedarach,0.5,993
"Chinese tallowtree",Triadica,sebifera,0.5,994
"tungoil tree",Vernicia,fordii,0.5,995
smoketree,Cotinus,obovatus,0.5,996
Russian-olive,Elaeagnus,angustifolia,0.5,997
"Unknown dead hardwood",Tree,broadleaf,0.5,998
"Other or unknown live tree",Tree,unknown,0.5,999
"Washington hawthorn",Crataegus,phaenopyrum,0.5,5091
"fleshy hawthorn",Crataegus,succulenta,0.5,5092
"dwarf hawthorn",Crataegus,uniflora,0.5,5093
"Berlandier ash",Fraxinus,berlandieriana,0.5,5491
avocado,Persea,americana,0.5,7211
"Graves oak",Quercus,gravesii,0.5,8511
"Mexican white oak",Quercus,polymorpha,0.5,8512
