"SETTING_ID","MEASUREMENT_NO","PURPOSE_CODE","MEASUREMENT_DATE","PLOT","TAG_ID","AZIMUTH","DISTANCE","SET_CN","PLOT_CN","TREE_CN","LIVE_DEAD","SPECIES_SYMBOL","DIAMETER"
"01160309040009",2,"TP","06/02/1993",201,276,169,NA,445973010259,"445974010259","2641382010259","L","PSME",4.1
"01160309040009",2,"TP","06/02/1993",403,450,NA,NA,445973010259,"446006010259","2641579010259","L","PSME",16.9
"01160347060011",4,"CP","06/01/2002",101,191,NA,20.5,523290010259,"523291010259","3310910010259","L","PSME",3.4
"01160347060011",4,"TP","06/02/2002",303,1,NA,15.7,523303010259,"523324010259","3311219010259","L","LAOC",4.1
"01160415010059",3,"TP","07/02/2000",303,73,NA,18.7,447829010259,"447850010259","2655627010259","L","ABGR",0.8
