"PLOT","SUBP","TAG_ID","AZIMUTH","DISTANCE","TREE_COUNT","SPECIES_SYMBOL","LIVE_DEAD","DIAMETER","HEIGHT","CROWN_RATIO","CROWN_CLASS","SNAG_DECAY_CLASS","REMARKS","PRV_DAM"
101,"",26,4,22.8,"","LAOC","L",2.7,33,50,"IN","","",""
101,"",27,27,19.4,"","LAOC","L",2.7,27,50,"IN","","","25-034-1"
101,"",28,27,18.7,"","LAOC","L",2.9,29,50,"IN","","","25-034-1"
101,"",29,67,7.2,"","LAOC","L",3,29,40,"IN","","","25-034-1"
101,"",30,95,11.3,"","LAOC","L",3.2,NA,40,"CO","","","25-034-1"
101,"",31,96,18.6,"","LAOC","L",2.5,NA,40,"IN","","","25-034-1"
101,"",32,97,23.4,"","PIPO","L",2.5,27,30,"IN","","",""
101,"",33,107,24,"","LAOC","L",2.7,31,20,"CO","","","25-034-1"
101,"",34,113,11.1,"","PIPO","L",3.3,27,30,"CO","","",""
101,"",35,131,6.2,"","LAOC","L",2.1,NA,20,"IN","","","25-034-1 50-011-2"
101,"",36,138,17.3,"","LAOC","L",3,NA,30,"CO","","","25-034-1"
101,"",37,151,12,"","LAOC","L",3.3,NA,20,"IN","","","25-034-1"
101,"",38,174,19,"","LAOC","L",2.8,NA,30,"CO","","",""
101,"",39,179,11.4,"","LAOC","L",2.6,NA,30,"IN","","","25-034-1"
101,"",40,180,14.7,"","LAOC","L",2.6,NA,30,"CO","","","25-034-1"
101,"",41,185,20.4,"","PSME","L",4.6,34,70,"CO","","",""
101,"",42,206,14.1,"","LAOC","L",3,NA,30,"CO","","","25-034-1"
101,"",43,225,14.6,"","LAOC","L",3.1,NA,40,"CO","","","25-034-1"
101,"",44,227,22.1,"","LAOC","L",2.8,NA,20,"IN","","","25-034-1"
101,"",45,255,13.7,"","LAOC","L",3.1,NA,30,"CO","","","25-034-1"
101,"",46,259,13.8,"","LAOC","L",3,NA,30,"CO","","","25-034-1"
101,"",47,281,17.2,"","LAOC","L",2.7,NA,50,"IN","","","25-034-1"
101,"",48,283,16.1,"","LAOC","L",4.1,NA,60,"CO","","","25-034-1"
101,"",113,173,17.4,"","LAOC","L",3.1,NA,20,"CO","","","25-034-1"
101,"",127,205,8.5,"","LAOC","L",2.3,NA,20,"IN","","","25-034-1"
101,"",190,109,19.3,"","LAOC","L",2.2,27,20,"IN","","","25-034-1"
101,"",193,42,18.1,"","LAOC","L",2.1,26,60,"IN","","","25-034-1"
101,"",376,239,24.8,"","PSME","L",4,NA,60,"CO","","",""
101,"",381,237,26.2,"","LAOC","L",3,NA,40,"CO","","","25-034-1"
101,"",461,199,18.7,"","PSME","L",2.5,NA,60,"IN","","",""
101,"5",501,NA,NA,"","PSME","L",0.3,5,60,"IN","","",""
101,"5",509,NA,NA,"","LAOC","L",1.4,20,30,"IN","","","25-034-1"
101,"5",510,NA,NA,"","LAOC","L",0.9,12,40,"IN","","","25-034-1"
101,"6",601,8,4.7,"","LAOC","L",1.7,20,40,"IN","","","25-034-1"
101,"6",603,NA,NA,"","PSME","L",NA,3,60,"IN","","",""
101,"6",607,152,4.2,"","LAOC","L",0.9,11,40,"IN","","","25-034-1 50-011-1"
101,"6",609,183,5.2,"","PIEN","L",NA,2,80,"CO","","",""
101,"7",704,NA,NA,"","PSME","L",0.7,8,70,"IN","","",""
101,"7",705,NA,NA,"","LAOC","L",1,15,30,"IN","","","25-034-1"
101,"7",708,NA,NA,"","PSME","L",NA,1,30,"OV","","","41-007-2"
102,"",1,28,25,"","PIPO","L",6.4,40,60,"CO","","",""
102,"",2,40,14.3,"","PIPO","L",9.1,41,60,"CO","","",""
102,"",3,57,21.9,"","LAOC","L",6.1,46,60,"CO","","","25-034-1"
102,"",4,104,24.2,"","PIPO","L",5.6,42,50,"CO","","",""
102,"",5,105,21.9,"","PIPO","L",7.9,40,50,"CO","","",""
102,"",6,121,12.3,"","LAOC","L",5.1,45,30,"CO","","","25-034-1"
102,"",7,122,15,"","LAOC","L",3.7,34,50,"IN","","",""
102,"",8,145,14.9,"","LAOC","L",6.2,50,40,"CO","","","25-034-1"
102,"",9,146,23.3,"","LAOC","L",6.7,NA,40,"CO","","",""
102,"",10,147,26.1,"","LAOC","L",9.3,NA,50,"CO","","","25-034-1"
102,"",11,151,22.7,"","LAOC","L",4,NA,20,"CO","","","25-034-1"
102,"",12,172,25.2,"","LAOC","L",4.9,NA,30,"CO","","",""
102,"",13,201,17.1,"","LAOC","L",4.9,42,40,"CO","","",""
102,"",14,202,26.3,"","PIPO","D",3.2,NA,NA,"","","",""
102,"",15,206,24.3,"","PIPO","D",4,NA,NA,"","","","21-000-0"
102,"",16,209,14.6,"","PIPO","D",3.5,NA,NA,"","","","21-000-0"
102,"",17,210,7.1,"","LAOC","L",6,NA,70,"CO","","",""
102,"",18,215,26.3,"","LAOC","L",5.7,47,50,"CO","","","25-034-1"
102,"",19,218,20.6,"","LAOC","L",3.8,NA,30,"CO","","",""
102,"",20,225,25.8,"","PIPO","L",3.9,NA,60,"IN","","",""
102,"",21,235,20.9,"","LAOC","L",5.3,NA,30,"CO","","","25-034-1"
102,"",22,251,11.5,"","LAOC","L",4.1,40,40,"CO","","","25-034-1"
102,"",23,260,7.6,"","LAOC","L",6.2,NA,30,"CO","","","25-034-1"
102,"",24,282,14.6,"","LAOC","L",5.2,NA,40,"CO","","","25-034-1"
102,"",25,287,18.2,"","LAOC","L",5,NA,30,"CO","","","25-034-1"
102,"",26,296,26.1,"","LAOC","L",5.3,47,40,"CO","","","25-034-1"
102,"",27,300,12.4,"","LAOC","L",3.9,NA,30,"CO","","",""
102,"",28,302,16.7,"","PIPO","L",5.6,42,40,"CO","","",""
102,"",29,303,6.9,"","PIPO","L",3.2,NA,40,"IN","","",""
102,"",30,315,7.2,"","LAOC","L",5.5,NA,40,"CO","","","25-034-1"
102,"",31,324,8.1,"","LAOC","L",5.5,NA,40,"CO","","","25-034-1"
102,"",32,337,24.1,"","LAOC","L",6.2,NA,60,"CO","","","25-034-1"
102,"",33,340,7.3,"","LAOC","L",4.3,NA,30,"CO","","","25-034-1"
102,"",34,90,21.3,"","LAOC","L",3.6,NA,30,"CO","","",""
102,"",35,96,26,"","PSME","L",4,36,70,"CO","","",""
102,"",36,109,12.6,"","LAOC","L",2.8,NA,40,"IN","","","25-034-1"
102,"",38,217,21.9,"","LAOC","L",2.8,NA,20,"IN","","",""
102,"",39,226,20.6,"","LAOC","L",2.5,NA,20,"IN","","",""
102,"",40,245,21.4,"","LAOC","L",3.6,NA,30,"CO","","","25-034-1"
102,"",41,245,23.1,"","LAOC","L",2.7,NA,30,"IN","","","25-034-1"
102,"",42,268,11.6,"","PSME","L",4.6,40,70,"CO","","",""
102,"",43,286,12.9,"","LAOC","L",2.6,NA,50,"IN","","",""
102,"",44,288,24.4,"","PSME","L",4.5,30,70,"IN","","",""
102,"",45,294,18.9,"","LAOC","L",2.5,NA,40,"IN","","","25-034-1"
102,"",46,325,8.9,"","PIPO","D",2.1,NA,NA,"","","",""
102,"",358,12,14.9,"","LAOC","L",2,NA,20,"IN","","","25-034-2"
102,"5",505,152,4.4,"","LAOC","L",1.9,25,30,"IN","","","25-034-1"
102,"5",507,201,6.5,"","LAOC","L",1.3,20,8,"OV","","","25-034-1"
102,"6",601,85,5.5,"","PSME","L",NA,2,60,"OV","","","41-007-2"
102,"6",602,135,3.2,"","ABGR","L",1.6,NA,60,"OV","","","50-011-2"
102,"6",604,326,5.2,"","LAOC","L",1.8,28,30,"IN","","","25-034-1"
102,"7",702,NA,NA,"","PSME","L",0.2,5,70,"IN","","",""
103,"",1,27,24,"","LAOC","L",6.4,40,60,"CO","","",""
103,"",2,52,25.4,"","LAOC","L",4,34,40,"CO","","",""
103,"",3,53,15.1,"","LAOC","L",3.1,34,20,"CO","","","22-000-5"
103,"",4,56,18,"","LAOC","L",4.3,36,40,"CO","","",""
103,"",5,96,15.6,"","LAOC","L",3.6,28,40,"CO","","","25-034-1"
103,"",6,109,12.6,"","LAOC","L",5.1,37,60,"CO","","",""
103,"",7,123,23.3,"","LAOC","L",5.4,44,80,"CO","","","25-034-1"
103,"",8,145,14.2,"","LAOC","L",3.8,NA,40,"CO","","",""
103,"",9,156,21.2,"","LAOC","L",5.7,NA,40,"CO","","",""
103,"",10,158,13.8,"","LAOC","L",3.5,NA,30,"CO","","",""
103,"",11,161,26.1,"","LAOC","L",6.7,NA,50,"CO","","","25-034-1"
103,"",12,169,12.4,"","LAOC","L",4.1,NA,40,"CO","","",""
103,"",13,175,23.3,"","LAOC","L",6.2,NA,40,"CO","","",""
103,"",14,182,24.2,"","LAOC","L",4.4,NA,40,"CO","","",""
103,"",15,204,16.8,"","LAOC","L",3.7,NA,20,"IN","","",""
103,"",16,206,26.1,"","LAOC","L",4.2,NA,40,"CO","","",""
103,"",17,213,19.9,"","LAOC","L",4.4,NA,50,"CO","","",""
103,"",18,213,24,"","LAOC","L",5.6,NA,40,"CO","","",""
103,"",19,214,25.2,"","LAOC","L",4.2,NA,50,"CO","","",""
103,"",20,262,11,"","LAOC","L",4.2,NA,40,"CO","","",""
103,"",21,291,18.3,"","LAOC","L",5.1,NA,70,"CO","","","25-034-1"
103,"",22,305,22.6,"","LAOC","L",3.8,NA,40,"CO","","",""
103,"",23,323,19.5,"","LAOC","L",4,NA,40,"CO","","",""
103,"",24,340,4.8,"","LAOC","L",7.1,NA,70,"CO","","",""
103,"",25,333,24.8,"","LAOC","L",3.7,NA,40,"CO","","",""
103,"",26,82,23.2,"","LAOC","L",3.1,29,50,"IN","","","25-034-1"
103,"",27,204,16.8,"","LAOC","L",2.6,NA,20,"IN","","",""
103,"",28,242,9.8,"","LAOC","L",3.3,NA,30,"IN","","","25-034-1"
103,"",29,228,15.2,"","LAOC","L",3.3,NA,40,"CO","","","23-013-1"
103,"",30,241,15.3,"","LAOC","L",3.5,NA,50,"CO","","","23-013-1"
103,"",31,256,14.6,"","LAOC","L",2.6,NA,40,"IN","","","22-000-5"
103,"",32,279,14.5,"","LAOC","L",2.5,NA,60,"IN","","",""
103,"",33,316,25.3,"","LAOC","L",3.5,NA,80,"CO","","",""
103,"",34,318,18.7,"","LAOC","L",2.2,NA,20,"CO","","",""
103,"",35,320,25.2,"","LAOC","L",2.7,NA,30,"DO","","",""
103,"",36,327,8.1,"","LAOC","L",3.5,NA,40,"CO","","",""
103,"",37,13,20.9,"","LAOC","L",2.6,27,60,"IN","","","25-034-1"
103,"",38,20,11.1,"","LAOC","L",3.2,29,40,"CO","","",""
103,"",39,66,13,"","LAOC","L",2.8,31,40,"CO","","",""
103,"",40,317,25.2,"","PICO","L",2,24,60,"IN","","",""
103,"",49,353,18.2,"","LAOC","L",2.1,NA,70,"IN","","",""
103,"5",501,NA,NA,"","PSME","L",NA,4,70,"OV","","",""
103,"5",502,NA,NA,"","LAOC","L",0.5,9,50,"IN","","","50-011-2"
103,"5",503,NA,NA,"","LAOC","L",1.4,18,50,"IN","","",""
103,"6",603,287,5.5,"","PSME","L",0.6,6,60,"IN","","",""
103,"7",706,121,5.8,"","LAOC","L",1,NA,60,"IN","","","50-011-2"
103,"7",709,NA,NA,"","PSME","L",NA,1,60,"OV","","",""
103,"7",710,NA,NA,"","LAOC","L",1,11,50,"IN","","","50-011-2"
201,"",1,18,17.8,"","LAOC","L",1.9,18,60,"CO","","","25-034-1"
201,"",2,21,7.9,"","PIPO","L",7.4,37,60,"CO","","",""
201,"",3,61,14.8,"","LAOC","L",3.2,33,70,"CO","","","25-034-1"
201,"",4,73,23.8,"","LAOC","L",4.4,38,70,"CO","","","25-034-1"
201,"",5,79,17.8,"","LAOC","L",7.3,46,60,"CO","","","25-034-1"
201,"",6,104,23.8,"","LAOC","L",4.7,39,60,"CO","","","25-034-1"
201,"",7,116,13.1,"","LAOC","L",6.1,NA,70,"CO","","","25-034-1"
201,"",8,117,25.3,"","LAOC","L",3.8,33,80,"CO","","","25-034-1"
201,"",9,136,18.4,"","LAOC","L",4,NA,80,"CO","","","25-034-1"
201,"",10,138,8.2,"","LAOC","L",4,NA,60,"IN","","","25-034-1"
201,"",11,162,21.2,"","LAOC","L",6.5,47,70,"CO","","","25-034-1"
201,"",12,165,15.6,"","LAOC","L",2.6,NA,50,"IN","","","25-034-1"
201,"",13,196,16.7,"","LAOC","L",6.8,45,80,"CO","","","25-034-1"
201,"",14,218,22.4,"","LAOC","L",3.4,NA,80,"CO","","","25-034-1"
201,"",15,230,8.8,"","LAOC","L",5.8,NA,60,"CO","","","25-034-1"
201,"",16,246,24.1,"","LAOC","L",4.6,NA,50,"CO","","","25-034-1"
201,"",17,261,17.9,"","LAOC","L",2.4,NA,70,"IN","","","25-034-1"
201,"",18,288,6.8,"","LAOC","L",5.9,NA,70,"CO","","","25-034-1"
201,"",19,320,22.4,"","LAOC","L",4.2,NA,70,"CO","","","25-034-1"
201,"",20,328,25.8,"","LAOC","L",6.3,NA,80,"CO","","","25-034-1"
201,"",56,3,15.5,"","PSME","L",0.7,7,80,"IN","","",""
201,"",57,21,23.9,"","PSME","L",1.5,9,80,"IN","","",""
201,"",58,216,21.3,"","PSME","L",0.7,7,80,"IN","","",""
201,"",59,267,24.5,"","PSME","L",1.8,11,80,"IN","","",""
201,"",60,286,18.2,"","PSME","L",0.5,6,80,"OV","","",""
201,"5",504,NA,NA,"","ABGR","L",NA,1,80,"IN","","",""
201,"5",505,NA,NA,"","PSME","L",NA,1,80,"OV","","",""
201,"5",506,NA,NA,"","PSME","L",0.2,5,80,"IN","","",""
201,"6",602,NA,NA,"","PSME","L",NA,2,80,"IN","","",""
201,"7",704,NA,NA,"","PSME","L",NA,3,80,"IN","","",""
202,"",1,37,17.7,"","LAOC","L",3.8,32,70,"CO","","","25-034-1"
202,"",2,60,22.3,"","LAOC","L",6.4,46,70,"CO","","","25-034-1"
202,"",3,63,16.2,"","ABGR","L",1.3,11,70,"UB","","",""
202,"",4,70,24.7,"","LAOC","L",3.4,33,60,"CO","","","25-034-1"
202,"",5,77,19.2,"","LAOC","L",3.7,38,40,"CO","","",""
202,"",6,80,4.6,"","LAOC","L",8.6,53,80,"CO","","","25-034-1"
202,"",7,92,23.4,"","LAOC","L",5.5,NA,70,"CO","","","25-034-1"
202,"",8,103,17.9,"","LAOC","L",6.2,NA,80,"CO","","","25-034-1"
202,"",9,122,9.1,"","LAOC","L",7.5,52,93,"CO","","","25-034-1"
202,"",10,140,14.3,"","LAOC","L",5.9,47,80,"CO","","","25-034-1"
202,"",11,141,25.1,"","LAOC","L",5.2,NA,70,"CO","","","25-034-1"
202,"",12,158,25.7,"","LAOC","L",5.2,NA,70,"CO","","","25-034-1"
202,"",13,159,16.5,"","LAOC","L",2,NA,70,"IN","","","25-034-1"
202,"",14,170,22.2,"","LAOC","L",2.5,19,70,"CO","","",""
202,"",15,214,21.8,"","LAOC","L",3.7,NA,70,"CO","","",""
202,"",16,227,22.5,"","LAOC","D",1.5,NA,NA,"","","",""
202,"",17,242,13.6,"","LAOC","D",0.8,NA,NA,"","","",""
202,"",18,266,22,"","LAOC","L",5.9,NA,50,"CO","","","25-034-1"
202,"",19,320,22.7,"","LAOC","L",8.9,48,80,"CO","","","25-034-1"
202,"",20,341,16.2,"","LAOC","L",8.9,46,80,"CO","","","25-034-1"
202,"",21,357,26.3,"","LAOC","L",7.2,NA,70,"CO","","","25-034-1"
202,"",91,161,21.5,"","ABGR","L",1,8,80,"IN","","",""
202,"",92,295,21.7,"","PSME","L",1.3,11,93,"IN","","",""
202,"",93,296,22,"","PSME","L",0.7,7,80,"IN","","",""
202,"",189,156,22.8,"","PSME","L",0.6,7,80,"IN","","",""
202,"5",501,43,6.7,"","PSME","L",NA,3,80,"IN","","","41-007-1"
202,"6",603,NA,NA,"","PSME","L",NA,3,80,"IN","","",""
202,"7",702,NA,NA,"","PSME","L",NA,2,80,"IN","","","41-007-1"
203,"",1,3,24.1,"","LAOC","L",2.5,20,80,"IN","","","25-034-1"
203,"",2,35,16.5,"","LAOC","L",4.1,35,70,"CO","","","25-034-1"
203,"",3,53,16.8,"","LAOC","L",4.7,35,70,"CO","","","25-034-1"
203,"",4,54,8.1,"","ABGR","L",3.5,25,80,"CO","","",""
203,"",5,72,23.6,"","LAOC","L",3.1,34,70,"CO","","","25-034-1"
203,"",6,87,17.6,"","PIPO","L",8.1,46,70,"CO","","",""
203,"",7,91,10.9,"","LAOC","L",5.7,37,80,"CO","","","25-034-1"
203,"",8,125,21.8,"","LAOC","L",4.7,35,80,"CO","","","25-034-1"
203,"",9,148,21.9,"","LAOC","L",2.8,NA,80,"CO","","","25-034-1"
203,"",10,161,2,"","LAOC","L",6,NA,70,"CO","","","25-034-1"
203,"",11,186,24.6,"","PIPO","L",5.6,35,70,"CO","","",""
203,"",12,193,12.9,"","LAOC","L",2.4,26,70,"CO","","","25-034-1"
203,"",13,224,21.6,"","LAOC","L",5.4,41,60,"CO","","","25-034-1"
203,"",15,242,13,"","LAOC","L",5.7,43,80,"CO","","","25-034-1"
203,"",16,255,20.5,"","LAOC","L",3.3,NA,70,"CO","","","25-034-1"
203,"",18,273,6,"","LAOC","L",2.7,NA,50,"CO","","","25-034-1"
203,"",19,322,20,"","LAOC","L",6.9,44,80,"CO","","","25-034-1"
203,"",20,345,15.9,"","LAOC","L",7.5,NA,80,"CO","","","25-034-1"
203,"",21,348,9.1,"","LAOC","L",5.1,NA,80,"CO","","","25-034-1"
203,"",22,126,23.5,"","LAOC","L",0.9,NA,60,"IN","","","25-034-1"
203,"",83,99,9.5,"","PSME","L",0.9,7,80,"OV","","",""
203,"",84,136,16.9,"","PSME","L",1.4,9,80,"IN","","",""
203,"",85,156,24.2,"","PSME","L",0.8,7,70,"IN","","",""
203,"",88,202,21.5,"","LAOC","L",1.4,NA,70,"IN","","","25-034-1"
203,"",89,260,20.5,"","PSME","L",0.5,6,80,"IN","","",""
203,"",90,263,23.9,"","PSME","L",0.8,9,80,"IN","","",""
203,"5",501,NA,NA,"","PSME","L",NA,2,80,"IN","","",""
203,"6",604,NA,NA,"","PSME","L",NA,2,80,"IN","","",""
203,"7",701,NA,NA,"","PSME","L",NA,2,80,"IN","","",""
203,"7",702,NA,NA,"","PSME","L",0.3,5,70,"IN","","",""
301,"",1,4,14.8,"","PSME","L",5.5,31,93,"CO","","",""
301,"",2,31,25.7,"","LAOC","L",3.6,34,80,"CO","","","25-034-1"
301,"",3,46,16.4,"","LAOC","L",5.6,43,80,"CO","","",""
301,"",4,57,25.3,"","LAOC","L",3.8,33,80,"CO","","","25-034-1"
301,"",5,66,20.5,"","LAOC","L",4.2,35,70,"CO","","","25-034-1"
301,"",6,95,23,"","PSME","L",5.8,36,70,"CO","","","22-000-1"
301,"",7,112,18.7,"","ABGR","L",2.6,19,70,"IN","","",""
301,"",8,167,18.4,"","ABGR","L",2.8,NA,80,"IN","","",""
301,"",9,185,22.8,"","LAOC","L",5.3,NA,70,"CO","","","25-034-1"
301,"",10,200,14.6,"","LAOC","L",5.3,NA,70,"CO","","",""
301,"",11,212,24.5,"","LAOC","L",3.6,NA,80,"CO","","","25-034-1"
301,"",12,225,17.7,"","LAOC","L",2.3,NA,60,"CO","","","25-034-1 70-007-1"
301,"",13,246,16.2,"","LAOC","L",5.1,NA,70,"CO","","","25-034-1"
301,"",14,263,24,"","LAOC","L",4,NA,70,"CO","","","25-034-1"
301,"",15,282,26,"","LAOC","L",5,NA,80,"CO","","","25-034-1"
301,"",16,284,14.4,"","LAOC","L",4.7,NA,80,"CO","","",""
301,"",17,296,6.9,"","LAOC","L",7.1,47,80,"CO","","",""
301,"",18,319,20.1,"","LAOC","L",5,NA,70,"CO","","",""
301,"",19,334,14.6,"","LAOC","L",4.8,NA,70,"CO","","","25-034-1"
301,"",20,48,8.8,"","ABGR","L",2,16,93,"IN","","",""
301,"",171,43,15.3,"","ABGR","L",0.6,6,80,"IN","","",""
301,"",249,54,21.3,"","ABGR","L",0.5,6,80,"IN","","",""
301,"",259,56,21.1,"","ABGR","L",0.7,6,80,"IN","","","70-007-1"
301,"",265,78,25.5,"","ABGR","L",0.5,6,80,"IN","","",""
301,"",266,225,18.1,"","ABGR","L",0.5,7,93,"IN","","","70-007-1"
301,"",358,271,22.5,"","ABGR","L",0.6,6,80,"IN","","",""
301,"",359,271,22.5,"","ABGR","L",0.5,6,80,"IN","","",""
301,"",601,163,5.6,"","ABGR","L",1.6,10,80,"IN","","",""
301,"",704,22,15.6,"","ABGR","L",0.5,6,93,"IN","","",""
301,"5",501,NA,NA,"","ABGR","L",NA,1,80,"IN","","",""
301,"5",503,NA,NA,"","PSME","L",NA,1,70,"IN","","",""
301,"5",508,NA,NA,"","PSME","L",0.2,5,80,"IN","","",""
301,"6",603,350,6.3,"","PSME","L",0.3,6,80,"IN","","",""
301,"6",604,NA,NA,"","ABGR","L",NA,2,80,"IN","","",""
301,"7",701,NA,NA,"","PSME","L",NA,2,80,"IN","","",""
301,"7",702,NA,NA,"","ABGR","L",NA,2,80,"IN","","",""
302,"",1,23,15.7,"","ABGR","D",1.2,NA,NA,"","","","21-001-0"
302,"",2,53,10.3,"","PICO","D",2.4,NA,NA,"","","","21-001-0"
302,"",3,56,20.3,"","LAOC","L",5.7,44,80,"CO","","","25-034-1"
302,"",4,69,26.3,"","LAOC","L",4,36,80,"CO","","",""
302,"",5,73,17.3,"","LAOC","L",3.9,40,80,"CO","","","25-034-1"
302,"",6,96,19,"","PSME","L",3.5,24,80,"CO","","",""
302,"",7,109,23.5,"","ABGR","L",2.7,17,93,"IN","","",""
302,"",8,137,18.9,"","PSME","L",3.1,22,80,"IN","","",""
302,"",9,146,25.4,"","PSME","L",7.5,41,80,"CO","","",""
302,"",10,165,25.9,"","LAOC","L",2,22,60,"IN","","",""
302,"",11,183,24.9,"","LAOC","L",5.3,46,80,"CO","","","25-034-1"
302,"",12,196,24.4,"","LAOC","L",2.2,NA,70,"IN","","","25-034-1"
302,"",13,213,19.4,"","LAOC","L",2.4,NA,60,"CO","","","25-034-1"
302,"",14,230,12.9,"","LAOC","L",1.6,NA,40,"OV","","","21-001-1 50-013-2"
302,"",16,321,16.7,"","LAOC","L",4.1,NA,80,"CO","","","25-034-1"
302,"",17,355,15.7,"","PSME","D",2.9,NA,NA,"","","","21-001-0"
302,"",18,138,7.3,"","ABGR","D",0.7,NA,NA,"","","","21-001-0"
302,"",19,285,19.8,"","ABGR","L",2.5,15,93,"IN","","",""
302,"",28,331,8.4,"","PSME","L",0.6,NA,80,"IN","","","21-001-4"
302,"",29,275,12.5,"","PSME","L",0.6,NA,93,"IN","","","21-001-4"
302,"",36,108,1.5,"","ABGR","L",0.7,7,93,"IN","","",""
302,"",187,114,25.8,"","PIEN","L",0.7,7,93,"IN","","",""
302,"",196,235,22.2,"","ABGR","L",1.1,8,93,"IN","","",""
302,"",382,53,20.4,"","ABGR","L",0.6,7,93,"IN","","",""
302,"",489,65,15.4,"","ABGR","L",0.6,6,80,"IN","","","70-007-1"
302,"",601,48,3.4,"","PSME","L",0.6,7,93,"IN","","","21-001-4"
302,"5",501,NA,NA,"","ABGR","L",0.4,6,93,"IN","","",""
302,"5",502,NA,NA,"","ABGR","L",NA,1,93,"IN","","",""
302,"5",503,NA,NA,"","PSME","L",NA,3,80,"IN","","","41-007-1"
302,"6",602,NA,NA,"","ABGR","L",0.4,6,93,"IN","","",""
302,"6",605,NA,NA,"","ABLA","L",NA,1,80,"IN","","",""
302,"7",704,NA,NA,"","ABGR","L",NA,4,93,"IN","","",""
303,"",1,21,16.6,"","LAOC","L",3.8,28,70,"CO","","","25-034-1"
303,"",2,38,22.1,"","LAOC","L",7.6,47,80,"CO","","","25-034-1"
303,"",3,74,14.6,"","LAOC","L",3.2,26,70,"CO","","","25-034-1"
303,"",4,76,2.9,"","LAOC","L",1.5,15,30,"IN","","","25-034-1"
303,"",5,76,21.5,"","LAOC","D",1.6,NA,NA,"","","",""
303,"",6,87,26.2,"","LAOC","L",4.7,39,70,"CO","","","25-034-1"
303,"",7,95,12.3,"","LAOC","L",4.9,37,70,"CO","","","25-034-1"
303,"",8,98,19.3,"","LAOC","L",4.2,34,40,"CO","","","25-034-1"
303,"",9,123,22.2,"","LAOC","L",3.9,NA,70,"CO","","","25-034-1"
303,"",10,134,10.9,"","LAOC","L",6,43,70,"CO","","",""
303,"",11,151,23.2,"","LAOC","L",4.5,NA,60,"CO","","","25-034-1"
303,"",12,164,25.4,"","LAOC","L",6.9,NA,50,"CO","","","25-034-1"
303,"",13,168,11.9,"","PICO","L",7.9,38,70,"CO","","","22-007-1"
303,"",14,183,26.1,"","LAOC","L",8,NA,70,"CO","","","25-034-1"
303,"",15,197,22.6,"","LAOC","L",5.3,NA,70,"CO","","","25-034-1"
303,"",16,224,24.3,"","LAOC","L",6,NA,70,"CO","","","25-034-1"
303,"",17,251,9.1,"","LAOC","L",2.6,NA,60,"IN","","","25-034-1"
303,"",18,291,25.9,"","LAOC","L",8.1,NA,80,"CO","","","25-034-1"
303,"",19,336,15.2,"","LAOC","L",2.7,NA,70,"IN","","","25-034-1"
303,"",20,352,17.4,"","PIEN","L",3.7,25,93,"IN","","",""
303,"",21,358,24.3,"","PIEN","D",2.2,NA,NA,"","","","21-001-0"
303,"",73,0,18.7,"","ABGR","L",0.8,8,93,"IN","","",""
303,"",74,2,20.4,"","ABGR","L",1.2,9,93,"IN","","",""
303,"",78,72,14.8,"","ABGR","L",1.1,8,93,"IN","","",""
303,"",79,73,23.9,"","ABGR","L",0.7,7,93,"IN","","",""
