"PLOT","SUBP","TAG_ID","AZIMUTH","DISTANCE","TREE_COUNT","SPECIES_SYMBOL","LIVE_DEAD","DIAMETER","HEIGHT","CROWN_RATIO","CROWN_CLASS","SNAG_DECAY_CLASS","REMARKS","PRV_DAM"
101,"",1,13,25,"","LAOC","L",4.8,40,60,"CO","","","25-034-1"
101,"",2,27,10.5,"","LAOC","L",4.6,39,50,"CO","","","25-034-1"
101,"",3,39,14.3,"","LAOC","D",3.4,NA,NA,"","","",""
101,"",4,57,17.5,"","LAOC","L",4.9,38,60,"CO","","","25-034-1"
101,"",5,77,16.4,"","LAOC","L",3.8,36,50,"CO","","","25-034-1"
101,"",6,78,20.3,"","LAOC","L",3.9,33,50,"CO","","","25-034-1"
101,"",7,78,18.5,"","LAOC","L",3.7,38,50,"CO","","","25-034-1"
101,"",8,145,22.7,"","PSME","L",6.3,39,70,"CO","","",""
101,"",9,146,23.4,"","PSME","D",2,NA,NA,"","","",""
101,"",10,164,23.1,"","PSME","L",5.5,43,60,"CO","","",""
101,"",11,164,19.3,"","LAOC","L",6.6,49,50,"CO","","","25-034-1"
101,"",12,167,20,"","LAOC","L",4.2,NA,20,"CO","","","25-034-1"
101,"",14,208,26,"","LAOC","L",4.1,NA,30,"CO","","","25-034-1"
101,"",15,210,13.3,"","LAOC","L",3.7,NA,30,"CO","","","25-034-1"
101,"",16,217,20.4,"","LAOC","L",4.4,NA,30,"CO","","","25-034-1"
101,"",17,231,7,"","LAOC","L",4.8,NA,30,"CO","","","25-034-1"
101,"",18,232,18.2,"","LAOC","L",4,NA,30,"CO","","","25-034-1"
101,"",19,278,12.1,"","LAOC","L",3.8,NA,30,"CO","","","25-034-1"
101,"",20,287,14,"","LAOC","L",3.8,NA,30,"CO","","","25-034-1"
101,"",21,302,10.6,"","LAOC","L",5.8,NA,30,"CO","","","25-034-1"
101,"",22,332,21.7,"","LAOC","L",5.2,NA,40,"CO","","","25-034-1"
101,"",23,334,7.9,"","LAOC","L",3.9,NA,40,"CO","","","25-034-1"
101,"",24,346,17.6,"","LAOC","L",3.8,NA,40,"CO","","","25-034-1"
101,"",25,347,22.4,"","LAOC","L",5.7,NA,50,"CO","","","25-034-1"
